date,arabica_usd_kg,robusta_usd_kg
1960-01-01,0.94,0.7
1960-02-01,0.95,0.69
1960-03-01,0.93,0.69
1960-04-01,0.93,0.68
1960-05-01,0.92,0.69
1960-06-01,0.91,0.7
1960-07-01,0.92,0.69
1960-08-01,0.93,0.7
1960-09-01,0.92,0.7
1960-10-01,0.92,0.71
1960-11-01,0.91,0.71
1960-12-01,0.9,0.7
1961-01-01,0.91,0.68
1961-02-01,0.92,0.68
1961-03-01,0.91,0.67
1961-04-01,0.9,0.66
1961-05-01,0.89,0.66
1961-06-01,0.89,0.67
1961-07-01,0.89,0.67
1961-08-01,0.89,0.67
1961-09-01,0.89,0.67
1961-10-01,0.89,0.67
1961-11-01,0.88,0.67
1961-12-01,0.88,0.67
1962-01-01,0.88,0.67
1962-02-01,0.88,0.67
1962-03-01,0.86,0.67
1962-04-01,0.85,0.67
1962-05-01,0.83,0.67
1962-06-01,0.8,0.67
1962-07-01,0.81,0.68
1962-08-01,0.82,0.68
1962-09-01,0.83,0.69
1962-10-01,0.81,0.69
1962-11-01,0.81,0.69
1962-12-01,0.82,0.72
1963-01-01,0.83,0.65
1963-02-01,0.8,0.61
1963-03-01,0.81,0.62
1963-04-01,0.81,0.62
1963-05-01,0.8,0.61
1963-06-01,0.8,0.61
1963-07-01,0.81,0.62
1963-08-01,0.8,0.61
1963-09-01,0.8,0.62
1963-10-01,0.8,0.63
1963-11-01,0.81,0.63
1963-12-01,0.8,0.65
1964-01-01,0.93,0.7
1964-02-01,0.94,0.72
1964-03-01,1.04,0.78
1964-04-01,1.0,0.82
1964-05-01,1.02,0.83
1964-06-01,1.01,0.85
1964-07-01,1.02,0.82
1964-08-01,1.05,0.82
1964-09-01,1.04,0.79
1964-10-01,1.04,0.77
1964-11-01,1.03,0.79
1964-12-01,1.01,0.76
1965-01-01,1.01,0.63
1965-02-01,1.04,0.64
1965-03-01,0.99,0.58
1965-04-01,0.97,0.55
1965-05-01,0.96,0.49
1965-06-01,0.98,0.61
1965-07-01,0.98,0.72
1965-08-01,1.0,0.79
1965-09-01,1.0,0.78
1965-10-01,1.01,0.81
1965-11-01,1.03,0.76
1965-12-01,1.03,0.79
1966-01-01,1.01,0.8
1966-02-01,0.97,0.76
1966-03-01,0.95,0.74
1966-04-01,0.95,0.76
1966-05-01,0.95,0.77
1966-06-01,0.92,0.74
1966-07-01,0.92,0.73
1966-08-01,0.92,0.72
1966-09-01,0.9,0.7
1966-10-01,0.89,0.72
1966-11-01,0.89,0.72
1966-12-01,0.87,0.72
1967-01-01,0.85,0.71
1967-02-01,0.84,0.73
1967-03-01,0.82,0.73
1967-04-01,0.85,0.75
1967-05-01,0.89,0.77
1967-06-01,0.91,0.78
1967-07-01,0.9,0.74
1967-08-01,0.88,0.72
1967-09-01,0.86,0.72
1967-10-01,0.85,0.73
1967-11-01,0.87,0.75
1967-12-01,0.85,0.75
1968-01-01,0.87,0.76
1968-02-01,0.87,0.76
1968-03-01,0.88,0.75
1968-04-01,0.89,0.75
1968-05-01,0.88,0.76
1968-06-01,0.89,0.76
1968-07-01,0.88,0.75
1968-08-01,0.87,0.75
1968-09-01,0.85,0.75
1968-10-01,0.85,0.74
1968-11-01,0.85,0.72
1968-12-01,0.83,0.71
1969-01-01,0.83,0.71
1969-02-01,0.84,0.71
1969-03-01,0.83,0.69
1969-04-01,0.81,0.66
1969-05-01,0.81,0.65
1969-06-01,0.8,0.68
1969-07-01,0.78,0.69
1969-08-01,0.81,0.72
1969-09-01,0.9,0.76
1969-10-01,1.04,0.85
1969-11-01,1.02,0.82
1969-12-01,1.05,0.83
1970-01-01,1.14,0.86
1970-02-01,1.15,0.85
1970-03-01,1.17,0.87
1970-04-01,1.2,0.91
1970-05-01,1.22,0.94
1970-06-01,1.21,0.93
1970-07-01,1.21,0.94
1970-08-01,1.18,0.94
1970-09-01,1.16,0.94
1970-10-01,1.12,0.94
1970-11-01,1.03,0.92
1970-12-01,0.98,0.92
1971-01-01,1.0,0.93
1971-02-01,0.98,0.93
1971-03-01,1.01,0.94
1971-04-01,0.99,0.94
1971-05-01,1.02,0.94
1971-06-01,1.0,0.93
1971-07-01,0.99,0.93
1971-08-01,1.01,0.93
1971-09-01,0.96,0.92
1971-10-01,0.94,0.92
1971-11-01,0.97,0.93
1971-12-01,1.02,0.94
1972-01-01,0.99,0.93
1972-02-01,1.0,0.93
1972-03-01,1.02,0.95
1972-04-01,1.01,0.96
1972-05-01,1.04,0.96
1972-06-01,1.07,0.96
1972-07-01,1.24,1.04
1972-08-01,1.2,1.04
1972-09-01,1.17,1.03
1972-10-01,1.18,1.04
1972-11-01,1.19,1.04
1972-12-01,1.22,1.05
1973-01-01,1.28,1.05
1973-02-01,1.45,1.09
1973-03-01,1.42,1.11
1973-04-01,1.29,1.08
1973-05-01,1.42,1.07
1973-06-01,1.41,1.08
1973-07-01,1.36,1.06
1973-08-01,1.33,1.04
1973-09-01,1.33,1.1
1973-10-01,1.38,1.15
1973-11-01,1.39,1.17
1973-12-01,1.42,1.19
1974-01-01,1.53,1.23
1974-02-01,1.65,1.33
1974-03-01,1.58,1.38
1974-04-01,1.55,1.41
1974-05-01,1.57,1.42
1974-06-01,1.59,1.36
1974-07-01,1.52,1.3
1974-08-01,1.38,1.23
1974-09-01,1.2,1.19
1974-10-01,1.25,1.21
1974-11-01,1.31,1.23
1974-12-01,1.3,1.22
1975-01-01,1.23,1.2
1975-02-01,1.18,1.15
1975-03-01,1.1,1.09
1975-04-01,1.05,1.08
1975-05-01,1.12,1.05
1975-06-01,1.23,1.09
1975-07-01,1.45,1.29
1975-08-01,1.84,1.7
1975-09-01,1.78,1.68
1975-10-01,1.77,1.61
1975-11-01,1.71,1.57
1975-12-01,1.84,1.63
1976-01-01,2.05,1.74
1976-02-01,2.19,1.82
1976-03-01,2.2,1.82
1976-04-01,2.7,2.38
1976-05-01,2.99,2.68
1976-06-01,3.3,2.87
1976-07-01,3.03,2.78
1976-08-01,3.38,2.92
1976-09-01,3.51,3.02
1976-10-01,3.82,3.35
1976-11-01,4.03,3.89
1976-12-01,4.57,4.5
1977-01-01,4.83,4.77
1977-02-01,5.41,5.43
1977-03-01,6.71,6.75
1977-04-01,7.0,6.88
1977-05-01,6.29,5.94
1977-06-01,5.78,4.94
1977-07-01,4.85,4.33
1977-08-01,4.4,4.48
1977-09-01,4.18,4.44
1977-10-01,3.77,3.83
1977-11-01,4.35,3.68
1977-12-01,4.47,3.72
1978-01-01,4.55,3.9
1978-02-01,4.36,3.85
1978-03-01,3.86,3.48
1978-04-01,3.94,3.19
1978-05-01,3.74,3.0
1978-06-01,3.71,3.33
1978-07-01,2.95,2.79
1978-08-01,3.05,2.83
1978-09-01,3.42,3.24
1978-10-01,3.4,3.31
1978-11-01,3.22,3.18
1978-12-01,2.89,2.91
1979-01-01,2.83,2.94
1979-02-01,2.71,2.92
1979-03-01,2.87,2.98
1979-04-01,3.06,3.13
1979-05-01,3.3,3.26
1979-06-01,4.26,4.16
1979-07-01,4.49,4.32
1979-08-01,4.35,4.01
1979-09-01,4.57,4.23
1979-10-01,4.62,4.06
1979-11-01,4.56,3.91
1979-12-01,4.28,3.9
1980-01-01,3.81,3.57
1980-02-01,3.71,3.55
1980-03-01,4.12,3.72
1980-04-01,4.05,3.65
1980-05-01,4.23,3.88
1980-06-01,4.05,3.76
1980-07-01,3.52,3.28
1980-08-01,3.1,2.95
1980-09-01,2.86,2.76
