,arabica_usd_kg,robusta_usd_kg,usd_ugx_rate,arabica_usd_kg_lag1,robusta_usd_kg_lag1
2016-08-01,3.69,2.02,3333.999988902699,,
2016-09-01,3.89,2.14,3343.2714494977677,3.69,2.02
2016-10-01,3.95,2.29,3397.2523600260415,3.89,2.14
2016-11-01,4.06,2.29,3528.30908203125,3.95,2.29
2016-12-01,3.57,2.25,3555.0227383700285,4.06,2.29
2017-01-01,3.72,2.39,3562.409102006392,3.57,2.25
2017-02-01,3.67,2.35,3541.594970703125,3.72,2.39
2017-03-01,3.53,2.35,3557.7521654211955,3.67,2.35
2017-04-01,3.43,2.28,3580.1571103050596,3.53,2.35
2017-05-01,3.31,2.17,3579.008693529212,3.43,2.28
2017-06-01,3.16,2.25,3546.1095145089284,3.31,2.17
2017-07-01,3.3,2.31,3556.459128639915,3.16,2.25
2017-08-01,3.3,2.3,3564.452190896739,3.3,2.31
2017-09-01,3.23,2.19,3566.4499755859374,3.3,2.3
2017-10-01,3.1,2.17,3602.2908824573865,3.23,2.19
2017-11-01,3.11,2.01,3598.436345880682,3.1,2.17
2017-12-01,3.03,1.93,3584.338088262649,3.11,2.01
2018-01-01,3.06,1.95,3602.430462381114,3.03,1.93
2018-02-01,3.0,1.97,3602.7300048828124,3.06,1.95
2018-03-01,2.98,1.94,3626.5181773792615,3.0,1.97
2018-04-01,2.96,1.95,3659.100008877841,2.98,1.94
2018-05-01,2.99,1.96,3688.756496263587,2.96,1.95
2018-06-01,2.95,1.9,3803.125,2.99,1.96
2018-07-01,2.88,1.86,3721.8260869565215,2.95,1.9
2018-08-01,2.76,1.78,3691.7681773792615,2.88,1.86
2018-09-01,2.67,1.69,3763.4904668898807,2.76,1.78
2018-10-01,3.03,1.88,3738.527266068892,2.67,1.69
2018-11-01,3.02,1.84,3699.377286044034,3.03,1.88
2018-12-01,2.8,1.71,3675.0809500558034,3.02,1.84
2019-01-01,2.83,1.72,3664.4043605638585,2.8,1.71
2019-02-01,2.83,1.73,3633.2800048828126,2.83,1.72
2019-03-01,2.73,1.7,3666.3590753728695,2.83,1.73
2019-04-01,2.67,1.62,3698.2636385830965,2.73,1.7
2019-05-01,2.66,1.57,3725.9476027715773,2.67,1.62
2019-06-01,2.86,1.63,3692.5809500558034,2.66,1.57
2019-07-01,2.99,1.63,3657.3217561141305,2.86,1.63
2019-08-01,2.78,1.56,3649.2333054315477,2.99,1.63
2019-09-01,2.84,1.56,3633.654541015625,2.78,1.56
2019-10-01,2.8,1.51,3654.8971835049715,2.84,1.56
2019-11-01,3.11,1.62,3656.339064825149,2.8,1.51
2019-12-01,3.46,1.61,3635.2820157137785,3.11,1.62
