grade_key,grade,price,currency,level,updated_utc,usd_ugx_rate
screen_18,Screen 18,177.54,USc/kg,fob,2026-09-13T03:05:05.090714+00:00,3754.87
screen_15,Screen 15,172.54,USc/kg,fob,2026-09-13T03:05:05.090714+00:00,3754.87
screen_12,Screen 12,169.54,USc/kg,fob,2026-09-13T03:05:05.090714+00:00,3754.87
bugisu_aa,Bugisu AA,283.45,USc/kg,fob,2026-09-13T03:05:05.090714+00:00,3754.87
bugisu_a,Bugisu A,282.45,USc/kg,fob,2026-09-13T03:05:05.090714+00:00,3754.87
bugisu_pb,Bugisu PB,282.45,USc/kg,fob,2026-09-13T03:05:05.090714+00:00,3754.87
bugisu_b,Bugisu B,280.45,USc/kg,fob,2026-09-13T03:05:05.090714+00:00,3754.87
wugar,Wugar,281.45,USc/kg,fob,2026-09-13T03:05:05.090714+00:00,3754.87
drugar,Drugar,262.45,USc/kg,fob,2026-09-13T03:05:05.090714+00:00,3754.87
kiboko,Kiboko,5000.0,UGX/kg,farmgate,2026-09-13T03:05:05.090714+00:00,3754.87
faq,FAQ,11500.0,UGX/kg,farmgate,2026-09-13T03:05:05.090714+00:00,3754.87
arabica_parchment,Arabica Parchment,15000.0,UGX/kg,farmgate,2026-09-13T03:05:05.090714+00:00,3754.87
drugar_clean,Drugar Coffee (Clean),14500.0,USc/kg,fob,2026-09-13T03:05:05.090714+00:00,3754.87
